Date,High (kg),Low (kg),Close (kg),,High (troy oz),Low (troy oz),Close (troy oz)
19/12/2023 00:00,52712.61,50840.17,51693.21,,1639.55,1581.31,1607.84
19/11/2023 00:00,54188.9,50542.07,51524.36,,1685.46,1572.03,1602.59
20/10/2023 00:00,53335.8,50486.2,51129.08,,1658.93,1570.3,1590.29
20/09/2023 00:00,52468.14,47905.66,52382.5,,1631.94,1490.03,1629.28
21/08/2023 00:00,50258.31,47596.53,50107.86,,1563.21,1480.42,1558.53
22/07/2023 00:00,49335.17,47547.9,47687.95,,1534.5,1478.91,1483.26
22/06/2023 00:00,49478.36,47850.2,49069.03,,1538.95,1488.31,1526.22
23/05/2023 00:00,51475.5,48570.18,48684.73,,1601.07,1510.7,1514.26
23/04/2023 00:00,53165.53,50584.82,50933.93,,1653.63,1573.36,1584.22
24/03/2023 00:00,52712,50918.84,51297.34,,1639.53,1583.75,1595.53
22/02/2023 00:00,52995.68,47963.53,52134.13,,1648.35,1491.83,1621.55
23/01/2023 00:00,51197.07,48620.05,48736.21,,1592.41,1512.25,1515.87
24/12/2022 00:00,50601.52,47859.91,49947.73,,1573.88,1488.61,1553.55
24/11/2022 00:00,48544.94,46164.5,47991.31,,1509.92,1435.88,1492.7
25/10/2022 00:00,48616.47,45457.74,46651.37,,1512.14,1413.89,1451.02
25/09/2022 00:00,50829.16,46500.72,46972.06,,1580.96,1446.33,1460.99
26/08/2022 00:00,48771.24,46555,48684.64,,1516.96,1448.02,1514.26
27/07/2022 00:00,47963.98,45702.52,47764.11,,1491.85,1421.51,1485.63
27/06/2022 00:00,48473.44,45191.72,45894.62,,1507.69,1405.62,1427.48
28/05/2022 00:00,49164.55,46660.27,47934.26,,1529.19,1451.3,1490.92
28/04/2022 00:00,49578.07,46575.98,47190.81,,1542.05,1448.67,1467.8
29/03/2022 00:00,49271.3,46199.77,48346.23,,1532.51,1436.97,1503.74
27/02/2022 00:00,50797.87,45305.5,47227.37,,1579.99,1409.16,1468.94
28/01/2022 00:00,47381.25,42300.33,45305.5,,1473.72,1315.69,1409.16
29/12/2021 00:00,44227.93,42358.18,43161.99,,1375.64,1317.49,1342.49
29/11/2021 00:00,43926.47,42596.89,43240.3,,1366.27,1324.91,1344.92
30/10/2021 00:00,44875.8,41439.39,43271.1,,1395.79,1288.91,1345.88
30/09/2021 00:00,42342.36,41177.37,41894.59,,1316.99,1280.76,1303.07
31/08/2021 00:00,42517.85,40728.22,41399.17,,1322.45,1266.79,1287.66
01/08/2021 00:00,42599.09,39149.73,42309.43,,1324.98,1217.69,1315.97
02/07/2021 00:00,43196.96,41471.19,41956.08,,1343.58,1289.9,1304.98
02/06/2021 00:00,43329.9,40727.83,41486.99,,1347.71,1266.78,1290.39
03/05/2021 00:00,43448.36,40959.86,43130.41,,1351.4,1273.99,1341.51
03/04/2021 00:00,41585.85,39885.1,41161.96,,1293.46,1240.57,1280.28
04/03/2021 00:00,40897.46,39013.55,40304.81,,1272.05,1213.46,1253.62
02/02/2021 00:00,43767.79,39284.42,39498.47,,1361.33,1221.88,1228.54
03/01/2021 00:00,46239.19,42884.16,43668.02,,1438.2,1333.85,1358.23
04/12/2020 00:00,46068.23,43583.98,44642.97,,1432.88,1355.61,1388.55
04/11/2020 00:00,48004.43,42537.1,43982.27,,1493.1,1323.05,1368
05/10/2020 00:00,47788.57,46247.24,46912.8,,1486.39,1438.45,1459.15
05/09/2020 00:00,49232.01,46269.01,47321.88,,1531.29,1439.13,1471.88
06/08/2020 00:00,50756.68,46051.89,46816.22,,1578.71,1432.37,1456.15
07/07/2020 00:00,50238.6,45579.98,49885.46,,1562.6,1417.7,1551.61
07/06/2020 00:00,46528.4,42452.19,45952.61,,1447.2,1320.41,1429.29
08/05/2020 00:00,46898.31,42250,42768.9,,1458.7,1314.12,1330.26
08/04/2020 00:00,45209.92,42661.25,44540.27,,1406.19,1326.91,1385.36
09/03/2020 00:00,44784.43,38031.57,42963.13,,1392.95,1182.91,1336.3
08/02/2020 00:00,42080.82,38723.98,41738.56,,1308.86,1204.45,1298.21
09/01/2020 00:00,39221.88,37774.62,39160.29,,1219.94,1174.92,1218.02
10/12/2019 00:00,39495.91,34897.38,38220.66,,1228.46,1085.43,1188.8
10/11/2019 00:00,36870.83,35644.52,35738.6,,1146.81,1108.67,1111.59
11/10/2019 00:00,38848.14,36570.37,36724.87,,1208.31,1137.47,1142.27
